Date	TimeOfDay	Type	SubType	Distance	DistanceUnit	Duration	Weight	WeightUnit	RestHR	AvgHR	MaxHR	Sleep	Calories	Quality	Effort	Weather	Temperature	TempUnit	Notes	Course	CourseSurface	CourseNotes	ShoeMake	ShoeModel	Size	System	ShoeSerial	ShoePrice	OverallPlace	FieldSize	GroupMinAge	GroupMaxAge	GroupPlace	GroupSize	GenderPlace	GenderSize	
2015-08-05		Run	Easy	1.38	Mile	0:14:01													Warmup																	
2015-08-05		Run	Easy	1.44	Mile	0:11:18													Cooldown. Starting to enter in old workouts to fill out runningahead, this should be fun!																	
2015-08-05		Run	Interval	3.40	Mile	0:22:49													4 x K with hard mile<br><br>4:07/3:52/4:32/4:16 and 6:02																	
2015-08-06		Run	Easy	5.03	Mile	0:41:14													17th street loop																	
2015-08-07		Run	Easy	2.68	Mile	0:21:58																														
2015-08-07		Run	Easy	1.46	Mile	0:10:51																														
2015-08-07		Run	Hill	1.02	Mile	0:7:09													Arlington hill repeats																	
2015-08-08		Run	Easy	0.64	Mile	0:4:57													Cooldown																	
2015-08-08		Run	Interval	4.55	Mile	0:30:32													Hard to tell what this was, but I'm going to guess:<br><br>Hard 1200 on track then hard 5k on midsummer<br><br>4:14 for 1200, 21:21 for 5000																	
2015-08-10		Run	Easy	1.43	Mile	0:15:31													Warmup to cascades																	
2015-08-10		Run	Easy	1.44	Mile	0:10:08													Cooldown																	
2015-08-10		Run	Tempo	4.00	Mile	0:0:00													Hard mile and hard 3 mile at Cascades:<br><br>6:48 for mile, 22:52 for 3 mile																	
2015-08-11		Run	Easy	5.93	Mile	0:46:54													Ryan Jackson																	
2015-08-12		Run	Easy	1.29	Mile	0:10:38													Must have been hurting this run, maybe have been Achilles pain i felt early on my first season?																	
2015-08-14		Run	Easy	4.53	Mile	0:44:13													Looks like some running and possible frisbee at Cascades																	
2015-08-15		Run	Easy	1.22	Mile	0:11:38													Warmup 																	
2015-08-15		Run	Race	3.10	Mile	0:20:23													First Midsummer 5k!																	
2015-08-16		Run	Easy	2.15	Mile	0:16:11													Hood run																	
2015-08-18		Run	Easy	5.64	Mile	0:42:52													Looks like some cascades running																	
2015-08-19		Run	Easy	1.46	Mile	0:10:25													Warmup																	
2015-08-19		Run	Tempo	4.14	Mile	0:30:01													7 x K<br><br>4:17/4:17/4:16/4:16/4:16/4:21/4:18																	
2015-08-20		Run	Easy	5.66	Mile	0:46:43													Cascades to bottom of walnut back to north																	
2015-08-21		Run	Easy	3.95	Mile	0:34:47													Cascades running																	
2015-08-22		Run	Easy	2.31	Mile	0:20:08													Warmup																	
2015-08-22		Run	Easy	1.68	Mile	0:22:20													Cooldown																	
2015-08-22		Run	Race	3.10	Mile	0:20:02													Early Bird 5k																	
2015-08-24		Run	Easy	7.21	Mile	1:00:19													Looks like some sort of flower loop																	
2015-08-25		Run	Easy	1.23	Mile	0:10:40													Warmup																	
2015-08-25		Run	Easy	1.92	Mile	0:14:39													Cooldown. Nice workout!																	
2015-08-25		Run	Interval	3.00	Mile	0:18:00													12 x 400<br><br>85/86/87/86/89/89/89/88/89/85/89/89/91																	
2015-08-26		Run	Easy	1.41	Mile	0:12:29													Warmup																	
2015-08-26		Run	Easy	1.44	Mile	0:11:04													Cooldown																	
2015-08-26		Run	Tempo	4.00	Mile	0:26:23													Tempo mile and tempo 3 mile at cascades<br><br>6:23 for the mile, 20:00 for the 3 mile																	
2015-08-27		Run	Easy	5.44	Mile	0:44:04													Cascades back on 17th street																	
2015-08-28		Run	Easy	5.53	Mile	0:48:19													Some cascades running																	
2015-08-29		Run	Easy	1.59	Mile	0:12:22													Warmup																	
2015-08-29		Run	Easy	2.34	Mile	0:20:31													Cooldown																	
2015-08-29		Run	Race	3.10	Mile	0:19:58													Conference																	
2015-08-30		Run	Long	7.96	Mile	1:14:15													Looks like IU course run																	
2015-08-31		Run	Easy	6.83	Mile	0:56:27													Cascades																	
2015-09-01		Run	Easy	1.46	Mile	0:11:07													Warmup																	
2015-09-01		Run	Easy	1.40	Mile	0:15:20													Cooldown. Holy shit this workout was pretty good																	
2015-09-01		Run	Interval	4.96	Mile	0:29:29													8 x K repeats at Cascades<br><br>3:46/3:39/3:34/4:10/3:29/3:33/3:39/3:39																	
2015-09-02		Run	Easy	6.94	Mile	0:55:08													Cascades																	
2015-09-03		Run	Easy	6.79	Mile	0:55:58													Cascades																	
